,Amplicon names,CHROM,Length,3_NA07407,7_NA07444,6_NA07445,2_NA07406,1_NA07405,11_2402DN1,9_2402DN1,5_NA07428,4_NA07425,12_2402DN2,10_2402DN2,8_DEVCTRL
54,HBD_2,11,280,0.996474929141086,0.9780602166793931,1.0,1.0248735306286783,1.0217335772384282,1.0140639013860908,0.9807083882444734,0.9798788907829942,0.9672152926354597,1.0140258812309002,1.0274093863815892,1.0040901336051227
55,HBD_1,11,217,1.022477906459385,0.9736288228323626,0.9737271770438184,1.0327678451053386,1.0395454719730082,1.183577648643286,1.0141559472057267,0.8633798660686253,0.9496097529792146,1.0,1.0025740263229883,1.0473479564930266
56,HBBP1_2,11,142,0.920213083919285,1.1110646335531627,1.0,0.8972111034054432,0.968429473999028,1.118478284910535,1.086744663499666,1.0808824399438475,1.0331378482642108,0.9694156934029751,1.0025665258318275,1.1554876797779619
57,HBBP1_1,11,218,1.0479815987080303,0.9588269433801309,1.0181549351823436,1.0541311876945079,0.8868016940677507,1.1285562002048446,0.9884327387338945,1.0410803337254082,0.8422397149467089,1.0148345924606461,1.0,1.1295309468768695
58,HBG1-2_Prom,11,275,0.9259472577665345,1.2413770205965822,1.0,1.1013595100304618,1.355164298166834,1.387691333787621,1.3275863707045905,1.0897949438706007,0.9850268893081662,1.159069090959837,0.9731829796331731,1.559033679828262
59,HBG2_up2,11,183,0.9540719921423869,1.1345866848196051,1.0,1.070028081123245,1.0029159420289855,1.0003222844982245,0.9834813541845677,1.0353490810372266,0.9770405771931517,1.0363508622675954,0.9450032428652594,0.9172318141197497
60,HBG2_up1,11,245,1.0,1.091463693340532,1.0036207379188078,0.9564680340908218,0.9048606553865925,0.9929500607329683,0.8830198043270855,0.9264604250438203,1.0172209733424866,0.9586474405164622,0.9204176451173915,1.0033436786011438
61,LCRB_HS1,11,213,0.9079571666117472,0.9327381680322857,1.044692278026892,0.9433008509302443,1.0732282337141672,0.5153412134353057,0.5326697928582728,1.096324615232506,0.9378978813086357,1.0017623795151875,1.0,0.9589948724943206
62,LCRB_HS2,11,191,0.9264782154969106,1.0493495507387134,0.9851902126698959,0.9633608234130069,1.01978976283923,0.5194040661907509,0.5118746055036186,0.9256104868834393,1.000021246248774,0.9752226619120079,1.0,0.9434512116875892
63,LCRB_HS3,11,236,1.0620579128609902,0.9393659815129433,0.9875384624999388,0.8789420622596822,1.0,0.5118330435535815,0.5484228053122039,1.0266002104211611,0.8435865106699472,1.0712425176519498,1.07429375631853,1.0772945754653214
